Index,LightGBM,BiLSTM,StackLSTM ,LSTM,RF,SVM,XGB
MAE,4.662184544394137,4.2473311316233335,4.587289837076666,5.028825152536666,4.979310205657895,5.600331457647465,5.242660605336667
RMSE,7.031407478054784,6.827390124117597,6.952639235035745,7.2377839893450435,7.094997708056923,7.843313086394017,7.878922423185404
nRMSE,0.10714370858553829,0.10403491763794186,0.10594344794040192,0.11028844807810725,0.10811268856479578,0.11951542479888005,0.12005803542356772
R2,0.8601444545968451,0.8737088318896031,0.8568592108450882,0.8429801764029657,0.868816336081939,0.8032487686386416,0.8431331809341291
