Index,LightGBM,BiLSTM,StackLSTM ,LSTM,RF,SVM,XGB
MAE,2.5096654020802633,2.378848630383333,2.4931584885100007,3.5469324616033333,2.9078238518055124,4.497018970504312,3.1629002900300005
RMSE,4.879073709484122,4.882384079565169,5.00162740013601,5.461973530283376,5.050184973257469,5.841104090895063,5.159842579331899
nRMSE,0.07256058337542456,0.07260981452022207,0.0743831767236715,0.08122934994158827,0.07510531499064195,0.08686770186891435,0.0767361204143941
R2,0.948155119642608,0.9492840780322143,0.9465771723255015,0.9371107543027757,0.9474530244490422,0.9030295746667184,0.9440739487110504
