Index,LightGBM,BiLSTM,StackLSTM ,LSTM,RF,SVM,XGB
MAE,2.641201524675414,2.5818524147933335,2.53375596982,2.5782455689533332,2.9372779314278135,3.5764465388340354,3.124296355526667
RMSE,4.229275819777187,4.211333050125329,4.114140580948729,4.198613665216343,4.358650256732781,4.531453661164461,4.58068818046311
nRMSE,0.13371381714131356,0.13314653415423147,0.13007367331355985,0.13274439497477267,0.1378041509343817,0.14326754556887766,0.14482415615449012
R2,0.5667347620200056,0.5723292829602814,0.5761401851064178,0.5774119552171564,0.5772251920867091,0.07959639356081405,0.5600614408771988
