Index,LightGBM,BiLSTM,StackLSTM ,LSTM,RF,SVM,XGB
MAE,2.7866109522040983,2.8340593849799998,2.5897448681266666,2.6820449141266667,2.8138778063894656,3.656217393630818,3.3160121970966667
RMSE,4.470105866440434,4.369013299092273,4.152111701045011,4.172691611626307,4.347971450378528,4.6809281267095155,4.689006028614517
nRMSE,0.14132795870925696,0.13813179141235787,0.13127417751937742,0.1319248369980957,0.13746652718483507,0.14799336677441915,0.14824875969373644
R2,0.5542950196965266,0.5730125719770649,0.6011066245953756,0.5874969043530747,0.5962052921324603,0.22960200582335022,0.537085365615986
