Index,LightGBM,BiLSTM,StackLSTM ,LSTM,RF,SVM,XGB
MAE,4.327196107784731,4.60795548315,3.9169053319166673,4.494263477216667,4.687071870056867,5.597626317005699,5.53576502305
RMSE,6.681532746811062,6.923784886333744,6.581354274561889,6.815260434629191,6.895122952402336,7.924249939444822,7.836997509952059
nRMSE,0.10181236114723116,0.10550376898019351,0.10028585410426583,0.10385008694510617,0.10506702201221745,0.12074873045271554,0.11941918883418041
R2,0.8663544640385751,0.8538274226816852,0.8883659132410816,0.8590308229573126,0.8709242981785003,0.7856264869192104,0.8347802585775823
