Index,LightGBM,BiLSTM,StackLSTM ,LSTM,RF,SVM,XGB
MAE,2.475885829793757,2.6752007599966663,2.1970795122299998,2.6028370401433336,2.7901922367485117,4.477907146667623,3.0094610978566667
RMSE,4.796010492705756,4.66452394608177,4.479707755256037,4.6204181898922005,4.788224903979634,5.85810204784817,4.835323289580788
nRMSE,0.07132528425404383,0.06936984330415395,0.06662129482507043,0.06871391154540464,0.07120949857554702,0.08712049199797313,0.07190993610503492
R2,0.9500478493803529,0.9525536913987096,0.9574152916543381,0.9544755750212717,0.9528471148088893,0.9031426627511414,0.95202712550116
