,R2,MAE,RMSE,nRMSE
SVM,0.852 ,0.062 ,0.076 ,0.079 
RF,0.857 ,0.061 ,0.076 ,0.079 
XGB,0.856 ,0.061 ,0.077 ,0.080 
LightGBM,0.863 ,0.060 ,0.075 ,0.078 
LSTM,0.863 ,0.060 ,0.074 ,0.077 
StackLSTM ,0.870 ,0.060 ,0.074 ,0.077 
BiLSTM,0.859 ,0.062 ,0.076 ,0.079 
