,MAE,RMSE,nRMSE,R2
SVM,0.363531188,0.39143492,0.110699921,0.681572113
RF,0.361533525,0.400722435,0.113326481,0.688591066
XGB,0.366101554,0.419170678,0.118543744,0.673639344
LightGBM,0.352788187,0.398751148,0.11276899,0.697883891
LSTM,0.353093407,0.388016555,0.109733189,0.698351566
StackLSTM ,0.346175739,0.391757194,0.110791062,0.694966605
BiLSTM,0.352913047,0.38856332,0.109887817,0.701583381
