,R2,MAE,RMSE,nRMSE
SVM,0.839 ,0.074 ,0.093 ,0.079 
RF,0.834 ,0.075 ,0.096 ,0.082 
XGB,0.830 ,0.077 ,0.098 ,0.083 
LightGBM,0.840 ,0.074 ,0.094 ,0.080 
LSTM,0.850 ,0.072 ,0.091 ,0.077 
StackLSTM ,0.831 ,0.074 ,0.095 ,0.081 
BiLSTM,0.839 ,0.073 ,0.093 ,0.080 
