,R2,MAE,RMSE,nRMSE
SVM,0.820 ,0.191 ,0.229 ,0.084 
RF,0.826 ,0.193 ,0.231 ,0.085 
XGB,0.831 ,0.191 ,0.232 ,0.085 
LightGBM,0.833 ,0.191 ,0.228 ,0.084 
LSTM,0.824 ,0.191 ,0.229 ,0.084 
StackLSTM ,0.830 ,0.191 ,0.228 ,0.084 
BiLSTM,0.830 ,0.190 ,0.227 ,0.083 
