Index,LightGBM,BiLSTM,StackLSTM ,LSTM,RF,SVM,XGB
MAE,4.26644764142,4.21069901581,4.550229261956667,4.539963797756666,4.684373981136666,5.269812814393332,5.621775010516667
RMSE,6.67710946125635,6.657473985759583,6.841016159378956,6.823783324575869,6.836992279259538,7.366337589911113,8.0997676379191
nRMSE,0.10174495967463215,0.1014457567524391,0.10424254946069937,0.10397995767718983,0.10418123407821817,0.11224733178093074,0.12342324721136241
R2,0.8676652376445678,0.8699969491898253,0.8631783478046378,0.8525647909128474,0.8730438431825214,0.8234343256640994,0.8155744001775013
