BiLSTM,StackLSTM ,LSTM,TRUE
15.539054,14.83692,18.54699,20.0862069
16.161839,17.91686,19.507668,20.86206897
18.726236,21.199745,21.705181,14.65517241
11.558121,11.208991,12.828609,11.81034483
7.9165764,8.124147,10.844469,6.293103448
2.6760416,4.6147857,4.7654676,2.75862069
1.934229,3.6045947,4.42898,2.5
5.356924,6.774369,8.207633,4.310344828
5.4666686,6.9026327,9.102859,10.51724138
12.290169,13.546074,15.688704,8.275862069
8.707612,8.782655,11.033811,22.5
22.67418,23.715681,25.289467,17.4137931
18.47969,18.69303,19.47193,11.89655172
12.644803,11.41827,13.605135,11.20689655
11.209823,12.0052395,14.054875,16.29310345
16.867996,18.183973,20.04289,37.5862069
34.47155,33.845364,37.26644,52.84482759
45.12375,45.84154,48.604412,47.84482759
43.419395,42.790257,44.16282,49.48275862
45.99566,47.388298,47.362793,50.94827586
48.153248,49.854675,49.64785,65.43103448
56.3661,59.504883,60.656704,54.65517241
51.480846,51.875854,51.112034,50.68965517
46.33565,46.105946,48.09951,48.10344828
44.00134,43.925667,45.916092,41.72413793
36.669838,35.78838,38.040565,43.27586207
39.141853,40.659103,41.79881,35.77586207
30.255999,29.46163,30.692244,31.37931034
24.874092,23.548075,27.731537,19.56896552
13.249448,13.040598,13.775759,13.70689655
7.304376,6.1947227,8.637051,8.362068966
3.7354355,3.3461745,5.6193013,4.137931034
2.7243075,3.8565288,5.883216,3.275862069
5.564884,6.395105,8.683435,6.724137931
9.265172,10.652061,13.253573,17.15517241
20.558336,19.041946,23.905151,39.31034483
34.666904,34.094826,37.49044,44.82758621
42.018047,42.974346,44.46349,36.03448276
35.30453,34.989277,34.73495,23.36206897
22.943624,21.701365,22.614672,34.65517241
34.35193,36.33019,38.115208,36.81034483
36.19425,38.448982,39.64292,36.03448276
34.638588,34.7147,37.498383,64.56896552
54.10808,55.72083,59.925755,68.53448276
67.72039,71.13084,70.765884,67.93103448
65.32839,67.713646,68.411865,67.5
63.750114,65.98553,66.332085,63.44827586
59.110054,60.079304,61.59331,56.63793103
53.011017,52.63861,53.79116,54.13793103
50.34319,50.22764,52.86177,49.31034483
45.019344,43.834362,47.305534,43.96551724
38.38861,37.320072,40.609028,31.98275862
28.306578,27.148678,28.509731,20.34482759
15.078228,13.711373,15.931017,15.43103448
9.707403,7.974988,10.779972,8.706896552
4.1465225,4.1060767,4.4417005,5.086206897
3.6135483,4.2207255,6.139184,3.620689655
8.567693,8.301718,10.388909,6.810344828
9.550487,10.755956,13.021292,18.96551724
22.6508,20.86711,25.307642,20.86206897
20.983006,21.729895,23.070147,25.86206897
26.050499,26.315207,28.398487,39.9137931
36.059612,35.369186,38.996033,48.44827586
44.37738,44.490135,46.854454,53.01724138
49.256947,50.737057,51.244614,47.5
43.899303,43.489048,44.41221,44.13793103
40.111282,39.94964,40.873672,24.05172414
26.657667,27.489754,26.259111,26.98275862
26.137072,27.374279,28.568926,72.06896552
46.63022,50.786568,51.952705,65.77586207
59.1503,59.62622,59.562984,72.06896552
62.837452,65.77806,65.838104,25.25862069
37.225937,36.606754,36.92219,29.65517241
27.76649,28.575132,30.380526,23.53448276
21.367962,21.33966,22.239584,47.5
37.224113,37.781242,41.461548,29.74137931
30.07123,31.086752,29.58838,21.63793103
19.952528,20.014988,20.64775,19.65517241
17.01305,17.885443,19.729908,12.15517241
9.945803,9.659586,11.437915,7.672413793
5.903387,6.1680818,7.3115873,3.620689655
3.4851227,4.713958,5.2569017,2.327586207
2.6336238,4.534174,5.45944,6.293103448
5.5369997,7.861424,9.504038,8.534482759
7.9583035,10.308245,11.166228,13.79310345
14.024612,15.254909,16.861782,14.82758621
14.498835,15.8700075,16.600384,20.34482759
20.056845,20.814981,22.76951,30.68965517
27.792217,28.528744,30.663998,47.15517241
38.685326,38.693485,41.56464,62.24137931
53.836605,53.659954,57.684967,65.77586207
61.82308,62.93105,63.4321,67.5862069
64.33915,66.60439,66.14263,69.48275862
66.28307,68.52398,68.24615,70.34482759
67.11879,69.183685,69.0456,65.51724138
60.95113,62.278423,62.709282,56.72413793
53.42045,54.111446,53.611103,52.75862069
49.316566,49.365955,50.781292,53.18965517
50.599865,51.897602,53.01346,46.63793103
43.337227,42.61789,44.791973,30.94827586
29.396122,30.11325,30.029089,29.9137931
25.774855,25.821869,29.080942,25.34482759
20.596832,18.327961,22.724524,15.77586207
11.013238,10.154847,11.75656,10.34482759
5.789966,4.7638106,7.456399,8.017241379
5.4677505,4.9309545,8.274114,3.103448276
2.7416723,4.622609,5.008006,2.672413793
5.6317406,7.2138696,9.711995,5.948275862
8.912869,10.303788,12.436595,9.655172414
13.0568285,14.277199,16.206045,10.17241379
10.729613,11.98572,13.656612,11.03448276
12.064029,13.441041,14.928899,10
9.852882,10.397347,12.874874,10.17241379
10.739229,11.862359,13.861563,9.310344828
9.238219,10.032176,12.533105,11.63793103
14.318882,15.960483,17.41773,16.29310345
19.7669,20.991535,22.300478,14.31034483
13.665325,14.344879,16.466614,15
15.771533,17.232458,18.417557,17.32758621
19.074207,20.373255,21.573212,13.87931034
12.151186,11.079223,14.848893,16.63793103
19.805477,21.156637,22.146263,16.55172414
16.946758,18.34431,19.115086,14.9137931
14.134365,14.500452,16.347853,14.82758621
14.393334,15.944559,16.98414,12.15517241
10.5189495,10.299794,12.937718,10.77586207
9.479021,10.62124,12.351024,9.396551724
8.391416,9.85929,11.224574,8.189655172
7.396774,8.446505,10.009522,6.034482759
5.072026,5.633439,7.491785,4.74137931
4.2167244,5.1184726,6.888729,2.844827586
1.6582451,3.8505669,4.940891,4.482758621
7.428695,9.956081,11.032981,10.94827586
15.428787,17.129728,19.020683,18.53448276
24.225721,25.307112,27.367088,26.29310345
31.874413,33.139122,34.831924,33.79310345
38.0585,39.754368,41.05641,41.63793103
45.888123,47.822166,49.33605,48.18965517
51.34046,53.153522,53.706142,54.31034483
55.078934,57.304996,57.619984,58.79310345
59.17644,60.72876,60.72574,46.55172414
44.035366,45.048435,43.53275,62.06896552
57.974766,59.874157,61.85116,67.93103448
67.09242,69.86888,69.62104,70
69.2301,70.539795,71.04682,68.70689655
65.05808,66.55852,68.06731,68.18965517
64.26216,66.24686,67.123505,66.20689655
62.11661,63.48932,64.7678,63.01724138
58.633926,59.640377,61.30838,56.29310345
51.151253,51.658485,53.502472,55.0862069
51.702095,52.30112,54.569344,39.48275862
35.24421,37.210117,34.898613,40.0862069
36.797024,36.723976,39.71561,18.44827586
15.420355,15.436438,14.940825,25.77586207
26.698761,29.759071,29.801458,19.13793103
11.141823,10.914244,13.494448,12.47844828
5.234407,5.8369718,6.6334376,3.448275862
1.8072525,3.8202095,3.194254,3.017241379
6.1043572,6.0773983,8.002931,4.827586207
6.6960816,7.910844,10.188269,9.482758621
11.100755,11.991962,14.383132,15.60344828
16.165335,16.945316,19.350538,15.77586207
15.664105,16.656982,17.788307,26.98275862
25.396173,25.978233,28.190037,30.60344828
29.47552,29.877546,31.443027,40.43103448
35.605846,36.47271,38.385307,41.29310345
36.622566,37.472,38.16113,41.37931034
36.67207,37.332653,38.19893,36.46551724
33.511963,33.172085,33.906487,25.86206897
27.011597,26.70321,25.995232,25.94827586
25.395016,26.14138,26.689135,17.5
18.845226,18.86569,18.724764,14.65517241
14.2353525,13.616809,15.721184,15.34482759
15.33176,16.493698,17.639874,18.44827586
19.09342,19.769508,21.115557,6.379310345
