Index,LightGBM,BiLSTM,StackLSTM ,LSTM,RF,SVM,XGB
MAE,0.19136418222163604,0.18959742828433335,0.19127364141500003,0.19101939375703333,0.19259948432538146,0.19144566657740397,0.1914063491763
RMSE,0.22818668533268227,0.22702592222614834,0.22841237513750906,0.22855417246080803,0.23101328790762846,0.2291419054961585,0.23215910887844746
nRMSE,0.08355426046601329,0.08312922820437509,0.08363690045313404,0.08368882184577373,0.08458926690136524,0.0839040298411419,0.08500882785735901
R2,0.8332403545743964,0.8302624798589737,0.8297590660812048,0.8236692696554536,0.8257458262259856,0.8203816507840311,0.8311933457888915
