Index,LightGBM,BiLSTM,StackLSTM ,LSTM,RF,SVM,XGB
MAE,0.06656882534767142,0.0665321469785,0.06641761633233334,0.06702852519582002,0.06633254892985448,0.0704197923204748,0.06764191813366666
RMSE,0.08076091831182927,0.08154641325854439,0.08119976183245145,0.08219965498510522,0.08090090913031936,0.08732403634824462,0.08261594256755989
nRMSE,0.08609906003393313,0.08693647468927974,0.08656691026913801,0.08763289444041068,0.08624830397688632,0.09309598757808596,0.0880766978332195
R2,0.8414284430982435,0.8395029047037599,0.8422821872912143,0.8434651799289328,0.8407058046038174,0.7917633770765177,0.8288097482849364
