,R2,MAE,RMSE,nRMSE
SVM,0.826 ,0.065 ,0.080 ,0.083 
RF,0.858 ,0.061 ,0.076 ,0.079 
XGB,0.859 ,0.062 ,0.077 ,0.080 
LightGBM,0.862 ,0.061 ,0.075 ,0.078 
LSTM,0.859 ,0.060 ,0.074 ,0.077 
StackLSTM ,0.859 ,0.060 ,0.074 ,0.077 
BiLSTM,0.872 ,0.059 ,0.073 ,0.076 
