,R2,MAE,RMSE,nRMSE
SVM,0.838 ,0.075 ,0.093 ,0.079 
RF,0.831 ,0.076 ,0.096 ,0.082 
XGB,0.815 ,0.080 ,0.100 ,0.085 
LightGBM,0.840 ,0.075 ,0.093 ,0.079 
LSTM,0.835 ,0.074 ,0.094 ,0.080 
StackLSTM ,0.847 ,0.074 ,0.093 ,0.079 
BiLSTM,0.842 ,0.074 ,0.094 ,0.080 
