,R2,MAE,RMSE,nRMSE
SVM,0.785 ,0.072 ,0.088 ,0.094 
RF,0.846 ,0.066 ,0.081 ,0.086 
XGB,0.848 ,0.066 ,0.081 ,0.086 
LightGBM,0.854 ,0.065 ,0.079 ,0.084 
LSTM,0.845 ,0.066 ,0.080 ,0.086 
StackLSTM ,0.857 ,0.066 ,0.080 ,0.085 
BiLSTM,0.851 ,0.064 ,0.078 ,0.083 
