,R2,MAE,RMSE,nRMSE
SVM,0.805 ,0.192 ,0.232 ,0.085 
RF,0.818 ,0.194 ,0.234 ,0.086 
XGB,0.810 ,0.197 ,0.239 ,0.088 
LightGBM,0.821 ,0.193 ,0.232 ,0.085 
LSTM,0.817 ,0.193 ,0.233 ,0.085 
StackLSTM ,0.815 ,0.190 ,0.231 ,0.085 
BiLSTM,0.808 ,0.193 ,0.235 ,0.086 
