,MAE,RMSE,nRMSE,R2
SVM,0.361076704,0.387225684,0.109509526,0.696260619
RF,0.356279177,0.395385386,0.111817134,0.685679564
XGB,0.362903637,0.408629996,0.115562782,0.658025353
LightGBM,0.351281443,0.390347791,0.110392475,0.682238297
LSTM,0.350000159,0.387481769,0.109581948,0.685813198
StackLSTM ,0.356485603,0.384244659,0.108666476,0.718805229
BiLSTM,0.356585928,0.38566097,0.109067016,0.698676579
