,R2,MAE,RMSE,nRMSE
SVM,0.813 ,0.193 ,0.230 ,0.084 
RF,0.821 ,0.194 ,0.232 ,0.085 
XGB,0.833 ,0.189 ,0.228 ,0.083 
LightGBM,0.837 ,0.188 ,0.223 ,0.082 
LSTM,0.828 ,0.188 ,0.227 ,0.083 
StackLSTM ,0.827 ,0.189 ,0.226 ,0.083 
BiLSTM,0.835 ,0.188 ,0.225 ,0.082 
