,R2,MAE,RMSE,nRMSE
SVM,0.831 ,0.076 ,0.095 ,0.081 
RF,0.839 ,0.075 ,0.095 ,0.081 
XGB,0.831 ,0.078 ,0.097 ,0.083 
LightGBM,0.832 ,0.076 ,0.096 ,0.082 
LSTM,0.836 ,0.074 ,0.094 ,0.080 
StackLSTM ,0.838 ,0.074 ,0.094 ,0.080 
BiLSTM,0.837 ,0.075 ,0.095 ,0.081 
