,R2,MAE,RMSE,nRMSE
SVM,0.800 ,0.072 ,0.087 ,0.093 
RF,0.847 ,0.066 ,0.079 ,0.084 
XGB,0.840 ,0.068 ,0.083 ,0.088 
LightGBM,0.847 ,0.066 ,0.080 ,0.085 
LSTM,0.844 ,0.067 ,0.080 ,0.086 
StackLSTM ,0.845 ,0.067 ,0.081 ,0.087 
BiLSTM,0.835 ,0.067 ,0.081 ,0.086 
