,MAE,RMSE,nRMSE,R2
SVM,0.362414732,0.389690936,0.110206713,0.697631098
RF,0.367817723,0.408810898,0.115613942,0.678471628
XGB,0.371469916,0.427535855,0.120909461,0.662219634
LightGBM,0.359596712,0.402385881,0.113796912,0.690523335
LSTM,0.356807097,0.386220577,0.109225276,0.704221288
StackLSTM ,0.346960011,0.390601193,0.110464138,0.689122261
BiLSTM,0.358422576,0.385084997,0.108904128,0.703979275
