,R2,MAE,RMSE,nRMSE
SVM,0.843 ,0.064 ,0.078 ,0.081 
RF,0.872 ,0.059 ,0.073 ,0.075 
XGB,0.878 ,0.059 ,0.073 ,0.075 
LightGBM,0.884 ,0.059 ,0.071 ,0.074 
LSTM,0.847 ,0.065 ,0.078 ,0.081 
StackLSTM ,0.861 ,0.063 ,0.076 ,0.078 
BiLSTM,0.865 ,0.061 ,0.074 ,0.077 
