,R2,MAE,RMSE,nRMSE
SVM,0.802 ,0.197 ,0.235 ,0.086 
RF,0.828 ,0.191 ,0.229 ,0.084 
XGB,0.831 ,0.190 ,0.226 ,0.083 
LightGBM,0.830 ,0.189 ,0.225 ,0.082 
LSTM,0.820 ,0.189 ,0.227 ,0.083 
StackLSTM ,0.815 ,0.191 ,0.230 ,0.084 
BiLSTM,0.826 ,0.189 ,0.229 ,0.084 
