,R2,MAE,RMSE,nRMSE
SVM,0.843 ,0.073 ,0.090 ,0.077 
RF,0.837 ,0.074 ,0.095 ,0.081 
XGB,0.836 ,0.076 ,0.095 ,0.081 
LightGBM,0.845 ,0.074 ,0.092 ,0.078 
LSTM,0.838 ,0.074 ,0.093 ,0.080 
StackLSTM ,0.852 ,0.073 ,0.092 ,0.078 
BiLSTM,0.838 ,0.073 ,0.093 ,0.079 
