Site,Statistical metrics,R2(%),,,,,,RMSE,,,,,,nRMSE(%),,,,,,MAE,,,,,
,Model/Input component,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6
,XGB,0.600089319,0.560061441,0.600933813,0.623768495,0.537085366,0.545508231,4.463689682,4.58068818,4.499879986,4.25173874,4.689006029,4.605117753,0.141125103,0.144824156,0.142269305,0.13442401,0.14824876,0.145596527,3.099025656,3.124296356,3.029044647,3.014691667,3.316012197,3.091484037
BE-Vie,LightGBM,0.848513612,0.862789953,0.853343594,0.830790236,0.826074641,0.824704595,5.767994063,5.556759847,5.676275417,5.860010817,5.889581815,5.891987354,0.104872619,0.101031997,0.103205008,0.106545651,0.107083306,0.107127043,3.99112849,3.723891353,3.832795688,4.016969829,4.035736428,4.037636338
,BiLSTM,0.84163593,0.862452884,0.847919315,0.784280625,0.797264387,0.844005168,5.809831727,5.598493886,5.724988005,6.322656794,6.21580025,5.827771051,0.105633304,0.101790798,0.104090691,0.114957396,0.11301455,0.105959474,4.020959909,3.796088733,3.942188526,4.278977974,4.138200305,3.957693632
,StackLSTM,0.851684661,0.853689271,0.861088718,0.82544058,0.85081751,0.817045595,5.849948617,5.598452213,5.794232785,5.885624385,5.725152309,5.970486235,0.106362702,0.10179004,0.105349687,0.107011352,0.104093678,0.108554295,3.965036121,3.728216508,3.970391186,4.016489067,3.805439954,4.123606481
,LSTM,0.83595823,0.84261148,0.861281629,0.849013064,0.832450522,0.798462045,5.929923847,5.762615312,5.590195892,5.728925593,5.795803122,6.226653192,0.107816797,0.104774824,0.101639925,0.104162284,0.105378239,0.113211876,4.071119514,3.846925663,3.671076416,3.812296788,3.928930088,4.159086747
,RF,0.835740571,0.853945719,0.843052818,0.808872839,0.810800995,0.807550948,6.162439544,5.904388771,6.059801306,6.360011009,6.361262542,6.385874544,0.112044355,0.107352523,0.110178206,0.115636564,0.115659319,0.11610681,4.356794135,4.020260616,4.196831283,4.418959054,4.421411218,4.449157748
,SVM,0.781060132,0.798002549,0.791867547,0.773891473,0.77656211,0.782597383,6.232224472,6.033511715,6.10037775,6.328847531,6.292081119,6.303813209,0.113313172,0.109700213,0.110915959,0.115069955,0.114401475,0.114614786,4.64276535,4.35670685,4.353220652,4.518490213,4.427589295,4.454065307
,XGB,0.833522058,0.849194959,0.84935494,0.799387519,0.773936405,0.765084859,6.291237602,6.046979096,5.972155572,6.774598375,6.986182573,7.204396797,0.114386138,0.109945074,0.108584647,0.123174516,0.127021501,0.130989033,4.445234444,4.230463398,4.251477533,4.771225335,4.845395443,5.066756335
AU-ASM,LightGBM,0.94815512,0.948128994,0.951365172,0.950772328,0.950047849,0.950897789,4.879073709,4.865995832,4.759913705,4.7609835,4.796010493,4.719003531,0.072560583,0.072366092,0.07078846,0.07080437,0.071325284,0.070180053,2.509665402,2.490830346,2.383224977,2.380731734,2.47588583,2.487798961
,BiLSTM,0.949284078,0.956818367,0.955050122,0.956686462,0.952553691,0.958372391,4.88238408,4.456599409,4.447105177,4.402905885,4.664523946,4.413354476,0.072609815,0.066277632,0.066136436,0.065479113,0.069369843,0.065634502,2.37884863,2.369864781,2.554090513,2.421451165,2.67520076,2.417899864
,StackLSTM,0.946577172,0.948390528,0.952182939,0.957887574,0.957415292,0.949147323,5.0016274,4.756617555,4.681313933,4.418219032,4.479707755,4.681236507,0.074383177,0.070739441,0.069619541,0.065706847,0.066621295,0.069618389,2.493158489,2.775964744,2.379805333,2.317329802,2.197079512,2.83687587
,LSTM,0.937110754,0.950128238,0.959117364,0.953952848,0.954475575,0.954521203,5.46197353,4.938696392,4.350194268,4.722879632,4.62041819,4.648842716,0.08122935,0.07344728,0.064695197,0.070237697,0.068713912,0.069136635,3.546932462,3.03141425,2.122494612,2.577546393,2.60283704,2.593863815
