Index,LightGBM,BiLSTM,StackLSTM ,LSTM,RF,SVM,XGB
MAE,0.19259363804772173,0.19270029216666668,0.19032919997333336,0.19305965579333334,0.19368054098434664,0.19179665820666822,0.19697947689666667
RMSE,0.23209843446456868,0.235225261555123,0.23126668057176802,0.23315892076832379,0.23393119386651312,0.23236089964856552,0.23927980935181328
nRMSE,0.0849866109353968,0.08613154945262651,0.0846820507403032,0.08537492521725515,0.08565770555346508,0.08508271682481344,0.087616187972103
R2,0.8212245765677155,0.8077267739560362,0.8151196014029569,0.8169518029995457,0.8178020980260422,0.8047100592463461,0.8104882628959186
