Index,LightGBM,BiLSTM,StackLSTM ,LSTM,RF,SVM,XGB
MAE,0.07483467693977557,0.07381930319343334,0.07387042323533334,0.07400400082766666,0.07617243691958073,0.07460122562989321,0.0797487404455
RMSE,0.0931546170158913,0.09408401071067647,0.09313095410709199,0.09407531670191444,0.09636499782239821,0.09268103607958318,0.1003791002658482
nRMSE,0.07928052511990748,0.08007149847717146,0.07926038647412084,0.08006409932077824,0.08201276410416869,0.07887747751453887,0.08542902150284953
R2,0.839774548889213,0.8420179010346482,0.8469504851153947,0.8348665775562276,0.8306965208946714,0.8383814248127373,0.8146817709363636
