Metric,Value,Station,Month,Model
R2,0.816155667,LaJolla Station,3,BiLSTM
RMSE,0.210662484,LaJolla Station,3,BiLSTM
MAE,0.17712711,LaJolla Station,3,BiLSTM
R2,0.837971434,LaJolla Station,6,BiLSTM
RMSE,0.206543794,LaJolla Station,6,BiLSTM
MAE,0.172450823,LaJolla Station,6,BiLSTM
R2,0.804688393,LaJolla Station,9,BiLSTM
RMSE,0.211596564,LaJolla Station,9,BiLSTM
MAE,0.175479187,LaJolla Station,9,BiLSTM
R2,0.844574778,LaJolla Station,12,N
RMSE,0.204449881,LaJolla Station,12,N
MAE,0.171116376,LaJolla Station,12,N
R2,0.818202765,LaJolla Station,3,N
RMSE,0.209486342,LaJolla Station,3,N
MAE,0.175506452,LaJolla Station,3,N
R2,0.84048942,LaJolla Station,6,N
RMSE,0.204932625,LaJolla Station,6,N
MAE,0.171080836,LaJolla Station,6,N
R2,0.79530666,LaJolla Station,9,N
RMSE,0.216618947,LaJolla Station,9,N
MAE,0.179040235,LaJolla Station,9,N
R2,0.851160288,LaJolla Station,12,Stack
RMSE,0.200071636,LaJolla Station,12,Stack
MAE,0.165101882,LaJolla Station,12,Stack
R2,0.817751182,LaJolla Station,3,Stack
RMSE,0.209746362,LaJolla Station,3,Stack
MAE,0.175749364,LaJolla Station,3,Stack
R2,0.845795626,LaJolla Station,6,Stack
RMSE,0.201495199,LaJolla Station,6,Stack
MAE,0.163474942,LaJolla Station,6,Stack
R2,0.809930013,LaJolla Station,9,Stack
RMSE,0.208737922,LaJolla Station,9,Stack
MAE,0.172772224,LaJolla Station,9,Stack
R2,0.881854938,Nawiliwili Station,12,BiLSTM
RMSE,0.067669157,Nawiliwili Station,12,BiLSTM
MAE,0.054396292,Nawiliwili Station,12,BiLSTM
R2,0.833957252,Nawiliwili Station,3,BiLSTM
RMSE,0.068200826,Nawiliwili Station,3,BiLSTM
MAE,0.057475347,Nawiliwili Station,3,BiLSTM
R2,0.86370615,Nawiliwili Station,6,BiLSTM
RMSE,0.073454589,Nawiliwili Station,6,BiLSTM
MAE,0.060810276,Nawiliwili Station,6,BiLSTM
R2,0.832420645,Nawiliwili Station,9,BiLSTM
RMSE,0.070705334,Nawiliwili Station,9,BiLSTM
MAE,0.059581726,Nawiliwili Station,9,BiLSTM
R2,0.86925906,Nawiliwili Station,12,N
RMSE,0.071185048,Nawiliwili Station,12,N
MAE,0.059760292,Nawiliwili Station,12,N
R2,0.830196085,Nawiliwili Station,3,N
RMSE,0.068968936,Nawiliwili Station,3,N
MAE,0.058096505,Nawiliwili Station,3,N
R2,0.87006582,Nawiliwili Station,6,N
RMSE,0.071720368,Nawiliwili Station,6,N
MAE,0.058711601,Nawiliwili Station,6,N
R2,0.838230554,Nawiliwili Station,9,N
RMSE,0.06946886,Nawiliwili Station,9,N
MAE,0.058163349,Nawiliwili Station,9,N
R2,0.879707406,Nawiliwili Station,12,Stack
RMSE,0.068281402,Nawiliwili Station,12,Stack
MAE,0.054832565,Nawiliwili Station,12,Stack
R2,0.835612733,Nawiliwili Station,3,Stack
RMSE,0.067859986,Nawiliwili Station,3,Stack
MAE,0.05650854,Nawiliwili Station,3,Stack
R2,0.850044039,Nawiliwili Station,6,Stack
RMSE,0.077048231,Nawiliwili Station,6,Stack
MAE,0.06432089,Nawiliwili Station,6,Stack
R2,0.834843066,Nawiliwili Station,9,Stack
RMSE,0.070192438,Nawiliwili Station,9,Stack
MAE,0.058883721,Nawiliwili Station,9,Stack
