Index,LightGBM,BiLSTM,StackLSTM ,LSTM,RF,SVM,XGB
MAE,0.05850619182743837,0.06058990014,0.06295893989833333,0.06509738174200001,0.059474949805872764,0.06360207689823626,0.058541576695
RMSE,0.07112216857050963,0.07422544773909512,0.07558944612595145,0.07837143436480679,0.07267210821461685,0.07781835888940024,0.07274983150844298
nRMSE,0.07370172908861101,0.07691756242393277,0.07833103225487197,0.08121392162156144,0.07530788416022471,0.08064078641388626,0.07538842643361968
R2,0.8841326694452906,0.8651089878409741,0.8614117849436549,0.8472736389558714,0.8720174756062641,0.8433563880984662,0.8782177942255358
