Index,BiLSTM,StackLSTM ,LSTM
MAE,5.650926421076667,5.561111919609999,5.639008500349999
RMSE,8.616366382066229,8.5454644234549,8.400582390579862
nRMSE,0.1235474042375315,0.12253076305105425,0.12045334453277678
R2,0.7650585777690291,0.7741685245581759,0.7760939124444542
