IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual
0.029398248,-0.010283287,-0.21361063,-0.03812719,-0.018968403,0.012532629,-0.0184786,-0.0468791,-0.032433897,-0.031378105,0.046504382,-0.0014385326,-0.039410125,1.3560039
-0.034876786,-0.03138974,-0.3880545,-0.07256087,-0.04000138,0.0149876345,-0.01651952,-0.045788556,-0.03224585,-0.0310977,0.04648383,-0.0015688871,-0.039419826,1.3560089
-0.19393477,-0.05203803,-0.4721291,-0.0812214,-0.053920873,0.016710613,-0.0143729355,-0.044611502,-0.032029614,-0.030816445,0.04646236,-0.0016993347,-0.039429534,1.356014
-0.31803262,-0.058789957,-0.44524854,-0.06765373,-0.060725123,0.017650727,-0.012133851,-0.043342303,-0.03178553,-0.03053438,0.046440005,-0.0018298286,-0.039439246,1.3560189
-0.14998351,-0.04599846,-0.31601018,-0.05453958,-0.0615258,0.017941177,-0.009891543,-0.041975863,-0.031514127,-0.030251477,0.046416722,-0.0019604154,-0.039448958,1.356024
-0.025183974,-0.011363506,-0.03854521,-0.031719066,-0.057124287,0.017723653,-0.0077128448,-0.04050742,-0.031216038,-0.029967764,0.046392564,-0.002091095,-0.039458673,1.356029
0.1779109,0.022076108,0.25039986,0.0005815136,-0.048430648,0.017071113,-0.0056586056,-0.0389324,-0.03089912,-0.02968318,0.046367485,-0.0022218563,-0.039468393,1.3560342
0.26916423,0.046420015,0.43417618,0.038236402,-0.03614381,0.01607864,-0.00378007,-0.037247997,-0.030560505,-0.029397724,0.046341505,-0.0023526985,-0.039478105,1.3560392
0.291525,0.06180189,0.5144592,0.07389898,-0.022827603,0.014984388,-0.002111074,-0.035452455,-0.03019751,-0.029111408,0.04631463,-0.002483599,-0.039487828,1.3560443
0.2411439,0.048598878,0.43494982,0.08423226,-0.011620214,0.014152241,-0.0006712458,-0.03354627,-0.029810952,-0.028824184,0.046286874,-0.0026145922,-0.03949755,1.3560493
0.07405237,0.022337327,0.29491264,0.06536418,-0.0040248856,0.013911141,0.0005359356,-0.031530794,-0.02940194,-0.028536081,0.046258193,-0.0027456554,-0.03950686,1.3560544
-0.00090472255,-0.0024295808,0.053182706,0.029638192,0.0015021048,0.014394626,0.0015175134,-0.029408855,-0.028971508,-0.028247098,0.046228655,-0.0028768112,-0.03951595,1.3560593
-0.093480326,-0.010030458,-0.1934122,-0.005844481,0.007456184,0.015615144,0.0022797293,-0.027184218,-0.028520696,-0.027957184,0.046198186,-0.0030080485,-0.039525043,1.3560644
-0.15520476,-0.026967362,-0.40751562,-0.044267133,0.015286216,0.017533965,0.0028379317,-0.024862196,-0.028056446,-0.027666362,0.046166833,-0.0031393438,-0.039534137,1.3560694
-0.27990553,-0.052219488,-0.5111264,-0.07028053,0.0243539,0.019891592,0.0032522345,-0.022450257,-0.027580801,-0.027374627,0.046134572,-0.0032707436,-0.039543234,1.3560746
-0.27713737,-0.0659394,-0.5047398,-0.074708216,0.031653013,0.022235552,0.0035837418,-0.019956566,-0.02708707,-0.027082002,0.046101414,-0.003402213,-0.039552327,1.3560796
-0.16517785,-0.03879027,-0.38825694,-0.048409786,0.035696086,0.023881242,0.003909809,-0.017389696,-0.02657622,-0.026788507,0.04606735,-0.0035337638,-0.039561436,1.3560847
-0.027247459,-0.0015831327,-0.15922718,-0.0087191,0.03642273,0.023931572,0.0043012258,-0.014758839,-0.026049288,-0.026494142,0.0460324,-0.0036653844,-0.03957054,1.3560897
0.17508191,0.020081274,0.1705519,0.025215229,0.034274306,0.02205307,0.0048063737,-0.012075178,-0.025507383,-0.026200349,0.045996524,-0.0037970862,-0.039579645,1.3560948
0.25784397,0.03092765,0.43610513,0.05050436,0.029405436,0.018107492,0.0054476955,-0.009350665,-0.024951588,-0.025906768,0.045959745,-0.003928869,-0.03958875,1.3560998
0.33720464,0.03824582,0.54079354,0.063898765,0.022227054,0.0122048035,0.006219854,-0.0065969895,-0.024382858,-0.025612365,0.045922074,-0.0040607336,-0.03959832,1.356105
0.3445568,0.03377217,0.5004933,0.061027497,0.013364649,0.0046825698,0.007185657,-0.0038250503,-0.023802206,-0.025317224,0.045883484,-0.0041927025,-0.039607927,1.35611
0.21731131,0.01766397,0.34871915,0.050723907,0.0019870347,-0.0037604808,0.008362654,-0.0010459129,-0.023210391,-0.02502135,0.045844,-0.004324718,-0.03961754,1.3561151
0.07368872,0.006732829,0.13636512,0.039141603,-0.011210903,-0.012086499,0.009752958,0.0017300323,-0.02260811,-0.024724972,0.045803607,-0.004456826,-0.039627153,1.3561202
0.027446477,-0.0030474414,-0.14718196,0.01480314,-0.02496121,-0.01952099,0.011341767,0.0044914535,-0.021995855,-0.024428036,0.045762304,-0.004589004,-0.03963676,1.3561252
