Date,Time (GMT),Wind Speed (m/s),Wind Dir (deg),Wind Gust (m/s),Air Temp (°C),Baro (mb),Water Level(m)
2022/1/5,21:00,2.6,5,2.8,24.5,1016.8,-0.108
2022/1/5,22:00,3.5,46,4.1,24.4,1016.1,-0.126
2022/1/5,23:00,4,44,4.8,24.5,1015.3,-0.042
2022/1/6,0:00,4.4,53,5.2,24.8,1014.5,0.16
2022/1/6,1:00,4.8,44,5.7,24.3,1014.5,0.422
2022/1/6,2:00,3.6,44,4.6,24.3,1014.9,0.546
2022/1/6,3:00,3,28,3.8,24.3,1015.4,0.719
2022/1/6,4:00,2.2,57,3.3,24.3,1015.7,0.811
2022/1/6,5:00,2.7,59,3.9,24.2,1016.3,0.86
2022/1/6,6:00,3.7,348,4.1,23.3,1016.8,0.849
2022/1/6,7:00,3.9,349,4.9,23.6,1017.3,0.724
2022/1/6,8:00,3.5,339,4,23.2,1017.6,0.617
2022/1/6,9:00,2.7,336,3.7,23.2,1017.4,0.489
2022/1/6,10:00,3.9,6,4.9,23.3,1017,0.332
2022/1/6,11:00,3.2,333,3.6,22.6,1016.6,0.293
2022/1/6,12:00,3,326,3.5,22.5,1016.1,0.274
2022/1/6,13:00,2.2,328,2.5,22.1,1015.5,0.274
2022/1/6,14:00,2.2,312,2.7,21.9,1015.3,0.304
2022/1/6,15:00,1.8,310,2.1,22.1,1015.5,0.395
2022/1/6,16:00,0.6,144,1.3,20.3,1015.9,0.32
2022/1/6,17:00,0.5,134,0.8,20.6,1016.1,0.325
2022/1/6,18:00,0.2,29,1,22.5,1016.6,0.265
2022/1/6,19:00,2.2,3,2.5,23.7,1016.7,0.184
2022/1/6,20:00,3.1,7,3.6,23.7,1016.5,0.016
2022/1/6,21:00,3.4,6,4.4,23.7,1016,-0.024
2022/1/6,22:00,4.5,35,5.3,23.7,1015.5,-0.049
2022/1/6,23:00,4.4,36,4.9,23.6,1014.4,0.035
2022/1/7,0:00,4.1,34,5.7,23.9,1013.7,0.094
2022/1/7,1:00,3.9,17,5.1,24,1013.3,0.259
2022/1/7,2:00,3.8,23,4.5,24.1,1013.4,0.399
2022/1/7,3:00,3.7,14,4.1,24,1013.5,0.566
2022/1/7,4:00,3,28,3.5,23.8,1013.9,0.684
2022/1/7,5:00,3.2,334,3.8,23.2,1014.6,0.771
2022/1/7,6:00,2.7,331,3.4,23.1,1015,0.781
2022/1/7,7:00,3,330,3.7,23.2,1015.3,0.715
2022/1/7,8:00,2.6,324,3.3,22.9,1015.5,0.598
2022/1/7,9:00,2,66,2.7,23.2,1015.4,0.514
2022/1/7,10:00,1.1,81,1.8,22.8,1015.1,0.394
2022/1/7,11:00,0.1,160,0.6,22.1,1015,0.296
2022/1/7,12:00,1.3,308,1.7,22.4,1014.5,0.288
2022/1/7,13:00,1.4,297,1.7,21.7,1013.8,0.23
2022/1/7,14:00,0.3,220,1.3,21.3,1013.4,0.277
2022/1/7,15:00,0.4,195,0.7,20.7,1013.3,0.311
2022/1/7,16:00,0.7,158,1.3,19.5,1013.6,0.349
2022/1/7,17:00,0.9,164,1.3,19.4,1014.1,0.312
2022/1/7,18:00,0.7,154,1,20.8,1014.6,0.333
2022/1/7,19:00,1.3,26,1.6,22.3,1015.2,0.26
2022/1/7,20:00,2.4,33,2.9,23,1015.3,0.18
2022/1/7,21:00,3.1,34,3.8,23,1014.9,0.106
